date,voting_prediction,voting_confidence,voting_class,prob_60day,prob_30day,prob_15day,prob_10day,actual_return_60day,actual_return_30day,actual_return_15day,actual_return_10day,return_immediate,return_with_critic
120,60-day,0.5500251750151316,0,0.5500251750151316,0.2605889911452929,0.1625083467612663,0.0268774653474489,0.28099102,0.7273542,1.2961925,2.380528,0.28099102,0.28099102
121,60-day,0.5211035758256912,0,0.5211035758256912,0.2735730533798535,0.1803485720107952,0.0249747747244934,0.008958088,0.16132307,1.8531461,2.641707,0.008958088,0.008958088
122,60-day,0.5789187823732694,0,0.5789187823732694,0.206314672405521,0.1963261260340611,0.0184403844953825,0.0035539295,0.41606557,2.2371023,2.0317523,0.0035539295,0.0035539295
123,60-day,0.5466584066549937,0,0.5466584066549937,0.2618959173560142,0.1674414612352848,0.0240042267056802,-0.0625004,0.2870207,2.1082144,0.72084475,-0.0625004,-0.0625004
124,60-day,0.9803133209546409,0,0.9803133209546409,0.0181615277348707,0.0009378164128672,0.0005873548649712,0.037661556,0.43092394,1.736296,0.2523491,0.037661556,0.037661556
125,60-day,0.5456691632668177,0,0.5456691632668177,0.2741399432222048,0.1561905021468798,0.0240003724272052,0.07223021,0.47005305,0.849953,0.30835313,0.07223021,0.07223021
126,60-day,0.980775624513626,0,0.980775624513626,0.0180928573245182,0.0006353555866856,0.0004961688103624,-0.03274372,-0.07707589,1.0182465,0.6469326,-0.03274372,-0.03274372
127,60-day,0.9818545281887054,0,0.9818545281887054,0.0169217429356649,0.0006131550705201,0.0006105730963099,-0.17530492,-0.42154637,0.09558101,0.55828416,-0.17530492,-0.17530492
128,60-day,0.97940460840861,0,0.97940460840861,0.018963175592944,0.0008950771158803,0.0007371664517753,-0.3828766,-0.55267316,-0.23660217,0.6946745,-0.3828766,-0.3828766
129,60-day,0.9820895989735922,0,0.9820895989735922,0.0165836307375381,0.0007433342279909,0.0005834383537148,0.03928133,0.14763337,0.41229498,1.407502,0.03928133,0.03928133
130,60-day,0.6073505183060964,0,0.6073505183060964,0.3017230667173862,0.0673917041470607,0.0235347227814296,-0.29926065,-1.1329439,0.07872599,-0.045389242,-0.29926065,-0.29926065
131,60-day,0.9819445411364236,0,0.9819445411364236,0.0170173463411629,0.000628026777728,0.0004100655526902,-0.43505812,-1.5272828,-0.8603435,0.22050366,-0.43505812,-0.43505812
132,60-day,0.5592259615659714,0,0.5592259615659714,0.3241651703914006,0.0953314534078041,0.021277431709071,0.030716237,-0.96589875,-0.5304107,0.20280953,0.030716237,0.030716237
133,60-day,0.5455976178248724,0,0.5455976178248724,0.2762043848633766,0.1502574483553568,0.0279405607531468,0.19329993,-0.60728544,-0.18985991,0.77949566,0.19329993,0.19329993
134,60-day,0.5831970671812693,0,0.5831970671812693,0.259555883705616,0.1328076757490635,0.0244393772445619,0.19999234,-0.5010617,-0.057246454,0.92486155,0.19999234,0.19999234
135,60-day,0.5239123900731405,0,0.5239123900731405,0.3264772792657216,0.1160226594656705,0.0335877124841014,0.119895324,-0.6231208,-0.16046451,0.8527777,0.119895324,0.119895324
136,60-day,0.9813996454079946,0,0.9813996454079946,0.0173111376352608,0.0007171000518913,0.0005721066184681,-0.3279534,-1.1736158,-1.4211304,-0.71861845,-0.3279534,-0.3279534
137,30-day,0.4148399730523427,1,0.4845106899738312,0.4148399730523427,0.0708489802976449,0.0298003254768749,-0.27648947,-1.232785,-1.4220233,-1.2839721,-1.232785,-1.232785
138,60-day,0.5272326469421387,0,0.5272326469421387,0.3688518057266871,0.0729319254557291,0.0309836597492297,-0.6295225,-1.5554774,-1.478549,-1.9333271,-0.6295225,-0.6295225
139,60-day,0.5121962626775106,0,0.5121962626775106,0.3736137151718139,0.0822857599705457,0.0319042489863932,-0.6596869,-1.7014444,-0.96137184,-1.8164694,-0.6596869,-0.6596869
140,60-day,0.582473893960317,0,0.582473893960317,0.3107610642910003,0.0824589120845,0.0243061203509569,-0.43500552,-1.2864826,-0.08426502,-0.89978546,-0.43500552,-0.43500552
141,60-day,0.513337125380834,0,0.513337125380834,0.3858359307050705,0.0739332611362139,0.0268936902284622,-0.87265456,-1.4218718,-0.9897806,-2.282814,-0.87265456,-0.87265456
142,60-day,0.5675654262304306,0,0.5675654262304306,0.3361754069725672,0.0748093488315741,0.0214497924316674,-0.6036587,-0.96964437,-0.5936282,-1.326781,-0.6036587,-0.6036587
143,60-day,0.6229043900966644,0,0.6229043900966644,0.2662054151296615,0.0824801716953516,0.0284100217589487,-0.515054,-1.2827458,-0.4538566,-0.8758551,-0.515054,-0.515054
144,60-day,0.979497363169988,0,0.979497363169988,0.018578953264902,0.0009734771071331,0.0009502181304317,-0.57114744,-1.3769939,-0.104534894,-0.32370368,-0.57114744,-0.57114744
145,60-day,0.5724606961011887,0,0.5724606961011887,0.3231815000375111,0.0791095755994319,0.0252481874388953,-0.47833005,-1.4860947,-1.5818689,-0.24401306,-0.47833005,-0.47833005
146,60-day,0.5876773744821548,0,0.5876773744821548,0.2971552386879921,0.0829297459373871,0.0322376502056916,-0.096006036,-0.80722094,-1.2500366,0.055113442,-0.096006036,-0.096006036
147,15-day,0.9719752172629038,2,0.009817486105021,0.0076282139925751,0.9719752172629038,0.0105790578963933,-0.18218623,-0.36195043,-0.7573813,0.123181194,-0.7573813,-0.7573813
